document,predicted,ground_truth,precision,recall,f1_score
"According to the ellipsometric spectra, optical constants and other physical parameters can be extracted by an appropriate fitting model. In order to estimate the optical constants/dielectric functions of Ni-doped TiO2 films, a three-phase layered system (air/film/substrate) [15] was utilized to study the ellipsometric spectra. TiO2 belongs to the wide band gap semiconductors. Considering the contribution of the M0 type critical point with the lowest three dimensions, its dielectric function can be calculated by Adachi's model [15,22,23]: ε(Ε)=ε∞+{A0[2−(1+χ0)1/2−(1−χ0)1/2]}/(EOBG2/3χ02). In the model, E is the incident photon energy, ε∞ is the high-frequency dielectric constant, χ0=(E+iΓ), EOBG is the optical gap energy, and A0 and Γ are the strength and broadening parameters of the EOBG transition, respectively. As an example, the experimental SE of the film TN1 at an incident angle 70° by dot scatter is shown in Fig. 4. The Fabry–Pérot interference oscillations due to multiple reflections within the film have been found in the photon energy from 1.5eV to 3.5eV (354nm–826nm), which indicates that the films are transparent in this region. Note that a good agreement of the experimental and calculated spectra is attained in the whole measured photon energy range. The fitting thickness for film TN2 is 159nm, which is very near to the value obtained by SEM (see Fig. 1(b)).","three-phase layered system, fitting model, fabry–pérot interference oscillations, ni-doped tio2 films, critical point, film thickness, dielectric functions, optical constants, ellipsometric spectra, sem, adachi's model","e, se, strength and broadening parameters, a0 and γ, semiconductors, fabry–pérot interference, ε∞, optical constants, incident photon energy, ellipsometric spectra, eobg, sem",0.273,0.25,0.261
"In this paper, crystal plasticity model, in combination with XFEM, has been applied to study cyclic deformation and fatigue crack growth in a nickel-based superalloy LSHR (Low Solvus High Refractory) at high temperature. The first objective of this research was to develop and evaluate a RVE-based finite element model with the incorporation of a realistic material microstructure. The second objective of this work was to determine the parameters of a crystal plasticity constitutive model to describe the cyclic deformation behaviour of the material by using a user-defined material subroutine (UMAT) interfaced with the finite element package ABAQUS. The model parameters were calibrated from extensive finite element analyses to fit the monotonic, stress relaxation and cyclic test data. The third objective was to predict crack growth by combining the XFEM technique and the calibrated crystal plasticity UMAT, for which accumulated plastic strain was used as the fracture criterion.","fracture criterion, crystal plasticity constitutive model, rve-based finite element model, material microstructure, nickel-based superalloy lshr, crystal plasticity model, abaqus, xfem, cyclic test data, cyclic deformation, accumulated plastic strain, stress relaxation test data, umat, monotonic test data, fatigue crack growth","finite element analyses, fracture criterion, umat, crystal plasticity constitutive model, plastic strain, crack growth, crystal plasticity model, abaqus, xfem, cyclic deformation, calibrated crystal plasticity umat, low solvus high refractory, lshr",0.467,0.538,0.5
"It is known that as the temperature of the sample rises, the Lorentz mechanism remains dominant until Tc of steel is reached (770°C for a low carbon steel), when the magnetostrictive mechanism becomes more efficient [15]. Previously this has been thought due to a thin ferromagnetic oxide layer on the sample surface, the surface being cooler than the bulk of the material [16,17]. This layer concentrates the magnetic field, increasing generation efficiency. Recent studies also show that rearrangement of the magnetic moments from ordered domains to a disordered state at a magnetic phase transition lowers the magnetostrictive constant. This ferromagnetic to paramagnetic transition is accompanied by large changes in the efficiency of electromagnetic ultrasound generation leading to the use of EMATs as a method of studying phase transitions in magnetic alloys [18].","magnetic phase transition, tc of steel, magnetostrictive mechanism, ferromagnetic oxide layer, ferromagnetic to paramagnetic transition, emats, electromagnetic ultrasound generation, lorentz mechanism","magnetic phase transition, steel, magnetic field, magnetostrictive mechanism, low carbon steel, ferromagnetic to paramagnetic transition, generation efficiency, emats, studying phase transitions, electromagnetic ultrasound generation, lorentz mechanism, ferromagnetic oxide, magnetic alloys",0.75,0.462,0.571
"One way to enforce this ratio is to use a probabilistic, ‘roulette wheel’ style lane selection policy. VISSIM, along with most simulation toolkits, offers methods to specify probabilistic routing whereby a defined percentage of vehicles are sent down unique routes. This is a piecewise technique that can be reapplied at various locations around a simulation. While these methods are attractive from a calibration perspective as exact representations of existing statistics can be ensured, the process is an unrealistic one as it assumes that drivers make probabilistic decisions at precise locations. So in this case when a vehicle arrives at a point prior to the weighbridges it is allocated one of the lanes based on the respective probabilities. It turns out that this method leads to significant variations in trip times depending on the initial random number seed, this can be seen in a graphic of the key areas of the simulation for the 2 different runs (Fig. 7). One of the benefits of graphical microsimulation is that the 2D and 3D simulations help the researcher to visualise a new scheme and its potential benefits but also to highlight unrealistic behaviour. Fig. 7 shows the congestion at the decision point for 2 different runs. Using probabilistic routing to enforce correct routing percentages is a clear case of overcalibration affecting simulation brittleness.","random number seed, weighbridges, probabilistic lane selection, trip times, simulation brittleness, roulette wheel lane selection, graphical microsimulation, decision point, probabilistic routing, piecewise technique, calibration perspective, unrealistic behavior, 2d and 3d simulations, vissim, simulation toolkits, overcalibration","weighbridges, drivers, lane selection policy, graphical microsimulation, probabilistic routing, 2d and 3d simulations, piecewise technique, vehicle, vissim, simulation",0.375,0.6,0.462
"Shear horizontal (SH) ultrasound waves are guided waves (they have propagation properties affected by the geometry of the propagation medium), with symmetric and anti-symmetric modes; phase and group speeds are dependent on frequency, sample thickness, and the bulk shear wave speed [11,12]. The properties of the different modes can be very useful, such as in thickness measurement [13], but in this case they are a complication. SH0 has a thickness independent speed, equal to the shear wave speed, and is non-dispersive (the phase and group speed are equal to the shear wave speed for all frequencies). The oscillation direction of SH ultrasound is in the plane of the surface where the wave was generated, and perpendicular to the propagation direction, as shown in Fig. 1, with respect to a reference interface, which is typically a sample surface. Under certain conditions, such as over short propagation distances, SH waves can be treated as bulk waves.","sample thickness, non-dispersive, bulk waves, sh ultrasound waves, guided waves, frequency, symmetric and anti-symmetric modes, phase and group speeds, propagation direction, bulk shear wave speed, thickness measurement, sh0 mode, oscillation direction","sh ultrasound, bulk waves, guided waves, oscillation, sh0, wave, phase and group speed, bulk shear wave speed, propagation, sh waves, shear wave speed",0.231,0.273,0.25
"In this paper, an implementation of a LBP (local binary pattern) based fast face recognition system on symbian platform is presented. First, face in picture taken from camera is detected using AdaBoost algorithm. Second, the pre-processing of the face is done, including eye location, geometric normalization, illumination normalization. During the face preprocessing, a rapid eye location method named ER (Eyeball Search) is proposed and implemented. Last, the improved LBP is adopted for recognition. Although the computational capability of the symbian platform is limited, the experimental results show good performance for recognition rate and time. in pressIn this paper, an implementation of a LBP (local binary pattern) based fast face recognition system on symbian platform is presented. First, face in picture taken from camera is detected using AdaBoost algorithm. Second, the pre-processing of the face is done, including eye location, geometric normalization, illumination normalization. During the face preprocessing, a rapid eye location method named ER (Eyeball Search) is proposed and implemented. Last, the improved LBP is adopted for recognition. Although the computational capability of the symbian platform is limited, the experimental results show good performance for recognition rate and time. in press","symbian platform, local binary pattern, face preprocessing, improved lbp, recognition rate, geometric normalization, adaboost algorithm, face detection, eye location, lbp, er, eyeball search, illumination normalization, fast face recognition system, recognition time","symbian platform, local binary pattern, face preprocessing, illumination normalization, geometric normalization, preprocessing, adaboost algorithm, eye location, lbp, er, eyeball search, face recognition, recognition",0.667,0.769,0.714
"Xylanases have potential applications in various fields. Some of the important applications are as fallows. Xylanases are used as bleaching agent in the pulp and paper industry. Mostly they are used to hydrolyzed the xylan component from wood which facilitate in removal of lignin (Viikari, Kantelinen, Buchert, & Puls, 1994). It also helps in brightening of the pulp to avoid the chlorine free bleaching operations (Paice, Jurasek, Ho, Bourbonnais, & Archibald, 1989). In bakeries the xylanase act on the gluten fraction of the dough and help in the even redistribution of the water content of the bread (Wong & Saddler, 1992). Xylanases also have potential application in animal feed industry. They are used for the hydrolysis of non-starchy polysaccharides such as arabinoxylan in monogastric diets (Walsh, Power, & Headon, 1993). Xylanases also play a key role in the maceration of vegetable matter (Beck & Scoot, 1974), protoplastation of plant cells, clarification of juices and wine (Biely, 1985) liquefaction of coffee mucilage for making liquid coffee, recovery of oil from subterranian mines, extraction of flavors and pigments, plant oils and starch (McCleary, 1986) and to improve the efficiency of agricultural silage production (Wong & Saddler, 1992).","bleaching agent, protoplastation of plant cells, arabinoxylan, clarification of juices and wine, non-starchy polysaccharides, gluten fraction, pulp and paper industry, chlorine free bleaching, liquefaction of coffee mucilage, animal feed industry, lignin removal, xylanases, plant oils, recovery of oil, maceration of vegetable matter, bakeries, starch, extraction of flavors and pigments, agricultural silage production","making liquid coffee, xylanase, brightening of the pulp, chlorine free bleaching operations, efficiency of agricultural silage production, animal feed industry, liquefaction of coffee mucilage, protoplastation of plant cells, recovery of oil from subterranian mines, lignin, wood, pulp, even redistribution of the water content of the bread, arabinoxylan, clarification of juices and wine, xylanases, hydrolyzed the xylan component, bleaching agent",0.368,0.389,0.378
"Let us now consider the case of a beta-beam source. Similarly to the case of a static tritium source, an advantage of the beta-beams is that the neutrino fluxes can be very accurately calculated. Fig. 3 shows the electron–neutrino scattering events in the range of 0.1 MeV to 1 MeV and 1 keV to 10 keV, respectively. (In Fig. 3(b) we have rounded to the nearest integer number of counts.) The shape of the flux-averaged cross sections is very similar to the reactor case as reflected in the event rates shown in the figures. As can be seen, by measuring electron recoils in the keV range with a beta-beam source one could, with a sufficiently strong source, have a very clear signature for a neutrino magnetic moment of 5×10−11μB. These figures are for Helium-6 ions, however, similar results can be obtained using neutrinos from 18Ne. The results shown are obtained for an intensity of 1015 ν/s (i.e., 1015 ions/s). If there is no magnetic moment, this intensity will produce about 170 events in the 0.1 MeV to 1 MeV range per year and 3 events in the 1 keV to 10 keV range per year. These numbers increase to 210 and 55, respectively, in the case of a magnetic moment of 5×10−11μB.","electron–neutrino scattering, event rates, flux-averaged cross sections, neutrino fluxes, beta-beam source, neutrino magnetic moment, helium-6 ions, 18ne","reactor case, electron–neutrino scattering, neutrinos, static tritium source, electron, neutrino",0.125,0.167,0.143
"Fig. 9 displays the growth of two of the main corrosion products that develop or form on the surface of Cu40Zn with time, hydrozincite (Fig. 9a) and Cu2O (Fig. 9b). It should be remembered that both phases were present already from start of the exposure. The data is presented in absorbance units and allows comparisons to be made of the amounts of each species between the two Cu40Zn surfaces investigated, DP and HZ7. The tendency is very clear that the formation rates of both hydrozincite and cuprite are quite suppressed for Cu40Zn with preformed hydrozincite (HZ7) compared to the diamond polished surface (DP). In summary, without being able to consider the formation of simonkolleite, it can be concluded that an increased surface coverage of hydrozincite reduces the initial spreading ability of the NaCl-containing droplets and thereby lowers the overall formation rate of hydrozincite and cuprite.","hz7, formation rates, hydrozincite, cu40zn, simonkolleite, dp, surface coverage, nacl-containing droplets, cu2o","hz7, diamond polished surface, formation rates, initial spreading, formation rate, hydrozincite, cu40zn, cuprite, dp, corrosion products, absorbance units, formation of simonkolleite, comparisons to be made of the amounts of each species between the two cu40zn surfaces investigated, cu2o",0.667,0.429,0.522
"A hydroxyl-functionalized poly(butylene succinate) based polyester was prepared by conventional polycondensation of benzyl-protected dimethyl malonate and 1,4-butanediol (Scheme 2(a)) [24a]. Yao et al. reported on the direct polycondensation of l-lactic acid and citric acid with the formation of poly[(l-lactic acid)-co-(citric acid)], obtaining a polyester oligomer with both pendant carboxylic and hydroxyl groups [24b]. This PLCA oligomer was reacted with dihydroxylated PLLA as a macromonomer, yielding a PLCA–PLLA multiblock copolymer as shown in Scheme 2(b). While lipases have been investigated for the ring-opening polymerization (ROP) of cyclic ester monomers [25,26], they have also been used for the preparation of polyesters by polycondensation reactions. The advantage of this technique is that these enzyme-catalyzed reactions proceed without protection of the pendant functional groups. In this field, hydroxyl-bearing polyesters have been synthesized by the copolymerization of divinyl adipate with various triols (e.g. glycerol, 1,2,4-butanetriol) as represented in Scheme 2(c) [27] and by copolymerizations of 1,8-octanediol with adipic acid and several alditols [28]. Very recently, several α-hydroxy acids derived from amino acids were homo- and copolymerized with lactic acid by polycondensation in bulk without protected monomers (Scheme 2(d)) [29]. Biodegradable polyesters with various pendant groups were obtained, although the molecular weights remained low (1000–3000gmol−1).","l-lactic acid, amino acids, cyclic ester monomers, adipic acid, pendant groups, hydroxyl-bearing polyesters, benzyl-protected dimethyl malonate, citric acid, polyester oligomer, dihydroxylated plla, glycerol, poly[(l-lactic acid)-co-(citric acid)], enzyme-catalyzed reactions, macromonomer, pendant carboxylic and hydroxyl groups, 1, 2, α-hydroxy acids, alditols, 4-butanediol, plca–plla multiblock copolymer, lipases, triols, 4-butanetriol, ring-opening polymerization (rop), biodegradable polyesters, divinyl adipate, polycondensation, plca oligomer, 8-octanediol, hydroxyl-functionalized poly(butylene succinate)","amino acids, cyclic ester monomers, adipic acid, dimethyl malonate, copolymerizations, citric acid, monomers, dihydroxylated plla, lactic acid, glycerol, copolymerization, alditols, plca–plla multiblock copolymer, lipases, rop, polyester, triols, biodegradable polyesters, divinyl adipate, polycondensation, plca oligomer, polyesters",0.452,0.636,0.528
"Some methods use 1D radial profiles obtained from circular averaging of 2D experimental PSD [4,8,11] or by elliptical averaging [17]. An inadequacy of circular averaging is that it neglects astigmatism. Astigmatism distorts the circular shape of the Thon rings and thus decreases their modulation depth in the obtained 1D profile. A few algorithms that consider astigmatism involve concepts such as dividing the PSD into sectors where Thon rings are approximated by circular arcs [15,21], applying Canny edge detection to find the rings [17] prior to elliptical averaging, determining the relationship between the 1D circular averages with and without astigmatism [22], or using a brute-force scan of a database containing precalculated patterns as in ATLAS [23]. Some other approaches for estimating CTF parameters do a fully 2D PSD optimization [12,14,18,20] but they usually regulate and fit numerous parameters by an extensive search that does not guarantee convergence. Furthermore, only a few schemes that were developed for defocus estimation provide an error analysis [23,24].","2d experimental psd, circular averaging, ctf parameters, elliptical averaging, circular arcs, canny edge detection, 2d psd optimization, defocus estimation, astigmatism, sectors, modulation depth, thon rings, error analysis, 1d radial profiles","2d experimental psd, circular averaging, 2d psd optimization, canny edge detection, elliptical averaging, astigmatism, atlas, psd, thon rings, 1d profile, ctf, 1d radial profiles",0.571,0.667,0.615
"Apache Pig is a platform for creating MapReduce workflows with Hadoop. These workflows are expressed as directed acyclic graphs (DAGs) of tasks that exist at a conceptually higher level than their implementations as series of MapReduce jobs. Pig Latin is the procedural language used for building these workflows, providing syntax similar to the declarative SQL commonly used for relational database systems. In addition to standard SQL operations, Pig can be extended with user-defined functions (UDFs) commonly written in Java. We adopted Pig for our implementation of the correlator to speed up development time, allow for ad hoc workflow changes, and to embrace the Hadoop community׳s migration away from MapReduce towards more generalized DAG processing (Mayer, 2013). Specifically, in the event that future versions of Hadoop are optimized to support paradigms other than MapReduce, Pig scripts could take advantage of these advances without recoding, whereas explicit Java MapReduce jobs would need to be rewritten.","java, apache pig, correlator, mapreduce workflows, sql, user-defined functions (udfs), ad hoc workflow changes, hadoop, generalized dag processing, procedural language, directed acyclic graphs (dags), pig latin","java mapreduce, apache pig, pig, udfs, sql, directed acyclic graphs, dag processing, hadoop, dags, mapreduce",0.25,0.3,0.273
"Each hit position inside the drift chambers was calculated from the drift time digitized by a flash analog-to-digital converter. The calculation was carried out based on a relation between the hit position and the drift time (x–t relation). The x–t relation was precisely calculated by a drift chamber simulation package, GARFIELD [20], and a gas property simulation package, MAGBOLTZ [21]. Although the chambers were constructed carefully with a tolerance of 100 μm, there was a small position deviation of wires and field-shaping patterns, which could locally modify the electric field. In order to take account of the limited accuracy in the chamber manufacturing, a correction was commonly applied to the calculated x–t relation throughout the experiments. The correction was obtained to minimize the χ2 in the fitting of straight tracks of clean muon events observed on the ground without magnetic field. The correction was as small as expected from the accuracy in the chamber manufacturing. During the observations, the x–t relation was affected by the variation in the pressure and temperature of the chamber gas. In order to take account of these time-dependent variations, the x–t relation was calibrated for each data-taking run. Especially in calibrating the x–t relation of ODCs, an absolute reference positions were provided by SciFi, which are not affected by the variation in the pressure nor temperature.","odcs, electric field, magnetic field, magboltz, garfield, pressure, calibrated, chamber manufacturing, x–t relation, absolute reference positions, position deviation, gas property simulation package, data-taking run, flash analog-to-digital converter, scifi, fitting, drift time, muon events, chamber gas, drift chamber simulation package, correction, straight tracks, temperature","odcs, gas property simulation package, magnetic field, magboltz, garfield, relation between the hit position and the drift time, chambers, x–t relation, chamber",0.261,0.667,0.375
"The purported advantages of EMR implementation in urban slums are widely promoted. Increasingly capable health information systems could facilitate communication, help coordinate care, and improve the continuity of care in disadvantaged communities like Kibera. However, available systems may not have the ability to simplify care or improve efficiency where funding and human resources are scarce, infrastructure is unreliable and health data demands are opportunistic, not strategic. This study described perceptions of local EMR stakeholders in two urban slum clinics. They shared many observations that may be important for other EMR initiatives to heed, and worried most about the sustainability of EMR initiatives in like communities. The future for EMR use in urban slums is promising. Innovative new technologies, such as mobile applications and point-of-care laboratory tests, could extend the reach of EMRs where infrastructure is wanting. New cloud-based EMR ecosystems, where data is collected and stored centrally could leverage cell phone networks to promote more health information sharing, coordination of care and ultimately better outcomes for vulnerable populations.Summary pointsWhat was already known on the topic?•Rapid urbanization is associated with growth in the number and size of urban slums and an associated rise in the burden of disease, further worsening an already fragmented and inefficient health care system.","burden of disease, innovative technologies, funding, urban slums, cloud-based emr ecosystems, care coordination, rapid urbanization, fragmented health care system, vulnerable populations, health information sharing, local emr stakeholders, continuity of care, mobile applications, infrastructure, health information systems, sustainability, point-of-care laboratory tests, emr implementation, human resources","emr, health information systems, mobile applications, emrs",0.105,0.5,0.174
"FabHemeLB is a Python tool which helps automate the construction and management of ensemble simulation workflows. FabHemeLB is an extended version of FabSim [27] configured to handle HemeLB operations. Both FabSim and FabHemeLB help to automate application deployment, execution and data analysis on remote resources. FabHemeLB can be used to compile and build HemeLB on any remote resource, to reuse machine-specific configurations, and to organize and curate simulation data. It can also submit HemeLB jobs to a remote resource specifying the number of cores and the wall clock time limit for completing a simulation. The tool is also able to monitor the queue status on remote resources, fetch results of completed jobs, and can conveniently combine functionalities into single one-line commands. In general, the FabHemeLB commands have the following structure:","machine-specific configurations, hemelb operations, monitor queue status, ensemble simulation workflows, remote resources, fabsim, submit hemelb jobs, number of cores, one-line commands, fetch results, application deployment, data analysis, wall clock time limit, organize and curate simulation data, compile and build hemelb, execution, fabhemelb","python tool, deployment, automate the construction and management of ensemble simulation workflows, fabsim, hemelb, data analysis, fetch results of completed jobs, organize and curate simulation data, execution, monitor the queue status on remote resources, simulation, fabhemelb",0.294,0.417,0.345
"The expression for Pc is also easily found in the same basis, where it becomes apparent that the dynamics of conversion in matter depends only on the relative orientation of the eigenstates of the vacuum and matter Hamiltonians. This allows to directly apply the known analytical solutions for Pc, and, upon rotating back, obtain a generalization of these results to the NSI case. For example, the answer for the infinite exponential profile [18,19] A∝exp(−r/r0) becomes Pc=exp[γ(1−cos2θrel)/2]−1exp(γ)−1, where γ≡4πr0Δ=πr0Δm2/Eν. We further observe that since γ⪢1 the adiabaticity violation occurs only when |θ−α|⪡1 and φ≃π/2, which is the analogue of the small-angle MSW [10,20] effect in the rotated basis. The “resonant” region in the Sun where level jumping can take place is narrow, defined by A≃Δ [21]. A neutrino produced at a lower density evolves adiabatically, while a neutrino produced at a higher density may undergo level crossing. The probability Pc in the latter case is given to a very good accuracy by the formula for the linear profile, with an appropriate gradient taken along the neutrino trajectory, (12)Pc≃Θ(A−Δ)e−γ(cos2θrel+1)/2, where Θ(x) is the step function, Θ(x)=1 for x>0 and Θ(x)=0 otherwise. We emphasize that our results differ from the similar ones given in [5,22] in three important respects: (i) they are valid for all, not just small values of α (which is essential for our application), (ii) they include the angle φ, and (iii) the argument of the Θ function does not contain cos2θ, as follows from [21]. We stress that for large values of α and φ≃π/2 adiabaticity is violated for large values of θ.","vacuum hamiltonians, infinite exponential profile, angle alpha, level jumping, analytical solutions, nsi case, gamma, matter hamiltonians, eigenstates, pc, resonant region, angle phi, level crossing, neutrino trajectory, adiabaticity violation, small-angle msw effect, linear profile, conversion dynamics, exponential profile, step function","generalization of these results to the nsi case, matter hamiltonians, relative orientation of the eigenstates, conversion in matter, analytical solutions for pc, pc, vacuum, adiabaticity violation, neutrino",0.15,0.333,0.207
"In this work we develop a new approach to DEA suitable for modelling three-dimensional problems. The present DEA methods rely on the fact that one can easily parametrise the boundary of the region being modelled, and then apply an orthonormal basis approximation over the resulting boundary phase space coordinate system. In two dimensions this is simple as the boundary may be parametrised along its arc-length and the associated momentum (or direction) coordinate taken tangential to the boundary. The basis can be any suitable (scaled) univariate basis in both position and momentum, such as a Fourier basis [8] or Chebyshev polynomials [9]. Defining a suitable parametrisation for the spatial coordinate in three-dimensions becomes much more difficult. In momentum space spherical polar coordinates may be employed and so these problems do not arise.","momentum coordinate, three-dimensional problems, spherical polar coordinates, dea, fourier basis, arc-length parametrization, orthonormal basis approximation, tangential direction, chebyshev polynomials, momentum space, boundary parametrization, univariate basis, two dimensions","parametrise the boundary of the region, boundary phase space coordinate system, spherical polar coordinates, dea, orthonormal basis approximation, chebyshev polynomials, univariate basis, fourier basis",0.462,0.75,0.571
"An OPE of VQCD(r) was developed in [3]. In this and the next paragraph, we review the content of that paper relevant to our analysis. Within this framework, short-distance contributions are contained in the potentials, which are in fact the Wilson coefficients, while non-perturbative contributions are contained in the matrix elements that are organized in multipole expansion in r→ at r≪ΛQCD−1. The following relation was derived: (16)VQCD(r)=VS(r)+δEUS(r),(17)δEUS=−ig2TFNC∫0∞dte−iΔV(r)t×〈r→⋅E→a(t)φadj(t,0)abr→⋅E→b(0)〉+O(r3). VS(r) denotes the singlet potential. δEUS(r) denotes the non-perturbative contribution to the QCD potential, which starts at O(ΛQCD3r2) in the multipole expansion. ΔV(r)=VO(r)−VS(r) denotes the difference between the octet and singlet potentials; see [3] for details. Intuitively VS(r) corresponds to VUV(r;μf) and δEUS(r) to VIR(r;μf). We adopt dimensional regularization in our analysis; we also refer to hard cutoff schemes when discussing conceptual aspects.","non-perturbative contribution, hard cutoff schemes, dimensional regularization, singlet potential, ope, multipole expansion, wilson coefficients, vqcd(r), octet potential","hard cutoff schemes, dimensional regularization, qcd potential, ope, multipole expansion",0.444,0.8,0.571
"In this section, we use the terrain data processing as an example to describe the geodetic data transformation method. Since Google Maps/Earth server only gives the terrain data in graphical display, we have to get terrain digital data from other sources. The fine-resolution (3″ or finer) terrain data bases such as SRTM (Shuttle Radar Topographical Mission) or USGS's DEM (Digital Elevation Model) data are necessary. Moreover, since 3DWF is used to model the fine-scale (meters up to 100m) atmospheric flow, it needs fine resolution terrain data. In this project, we use the terrain elevation data set from SRTM (Farr et al. 2007) with 3-arcsecond (~90m resolution at the equator) resolution. The data covers the land area, nearly global from 56S to 60N latitudes. We use the processed version 4 SRTM data set as described in Gamache (2005) in which some of the missing data holes were filled. The original data is organized in WGS84 (World Geodetic System 84) geodetic coordinate system. When the data are applied to the 3DWF model, they are transformed to the local East, North and Up (ENU) coordinate (see Fig. 3). Since the 3DWF is a fine scale wind model and its entire model domain is not intended to be larger than 20×20km, this Cartesian coordinate system is a good choice with very little distortion due to the curvature of the Earth's surface. The transformation from the WGS84 data to the ENU coordinate is performed as follows (Fukushima, 2006; Featherstone and Claessens, 2008).","resolution, graphical display, geodetic coordinate system, transformation, earth's surface, srtm, usgs, terrain data processing, digital elevation model, cartesian coordinate system, atmospheric flow, 3dwf, enu coordinate, wgs84, geodetic data transformation","terrain digital data, srtm, terrain data processing, digital elevation model, cartesian coordinate system, shuttle radar topographical mission, dem, 3dwf, enu, world geodetic system 84, wgs84, describe the geodetic data transformation method",0.4,0.5,0.444
Nanoparticle Tracking Analysis (NTA) has been applied to characterising soot agglomerates of particles and compared with Transmission Electron Microscoscopy (TEM). Soot nanoparticles were extracted from used oil drawn from the sump of a light duty automotive diesel engine. The samples were prepared for analysis by diluting with heptane. Individual tracking of soot agglomerates allows for size distribution analysis. The size of soot was compared with length measurements of projected two-dimensional TEM images of agglomerates. Both the techniques show that soot-in-oil exists as agglomerates with average size of 120nm. NTA is able to measure particles in polydisperse solutions and reports the size and volume distribution of soot-in-oil aggregates; it has the advantages of being fast and relatively low cost if compared with TEM.Nanoparticle Tracking Analysis (NTA) has been applied to characterising soot agglomerates of particles and compared with Transmission Electron Microscoscopy (TEM). Soot nanoparticles were extracted from used oil drawn from the sump of a light duty automotive diesel engine. The samples were prepared for analysis by diluting with heptane. Individual tracking of soot agglomerates allows for size distribution analysis. The size of soot was compared with length measurements of projected two-dimensional TEM images of agglomerates. Both the techniques show that soot-in-oil exists as agglomerates with average size of 120nm. NTA is able to measure particles in polydisperse solutions and reports the size and volume distribution of soot-in-oil aggregates; it has the advantages of being fast and relatively low cost if compared with TEM.,"nanoparticle tracking analysis, polydisperse solutions, soot agglomerates, automotive diesel engine, transmission electron microscopy, nta, soot-in-oil aggregates, used oil, tem, size distribution analysis","nanoparticle tracking analysis, polydisperse solutions, agglomerates, nta, heptane, size distribution analysis, tem, transmission electron microscoscopy, soot nanoparticles",0.5,0.556,0.526
"Recently together with structural efficiency, passenger safety is also an important issue in application of material to transportation industries. Hence, the crashworthiness parameters are introducing to predict the capability of structure to prevent the massive damage and protect the passenger in the event of a crash. Crashworthiness parameters for various thin-walled tubes made from metal or fibre/resin composites in different geometries have been studied. A critical difference of tubular composites failure modes compared with metallic is the brittle collapse. In addition, in composites, tubular failure modes are involved with micro-cracking development, delamination, fibre breakage, etc., instead of plastic deformation. Implementation of composite materials in the field of crashworthiness is attributed to Hull, who in 80s and 90s of the last century studied extensively the crushing behaviour of fibre reinforced composite material. He found that the composite materials absorbed high energy in the face of the fracture surface energy mechanism rather than plastic deformation as observed for metals [1]. This observation has inspired others to further investigation about crashworthiness characteristics of composite materials. Studies have examined the axial crushing behaviour of fibre-reinforced tubes [2], fibreglass tubes [3,4], PVC tubes [5] and carbon fibre reinforced plastic (CFRP) tubes [6].","fibreglass tubes, delamination, crashworthiness parameters, micro-cracking, plastic deformation, fibre reinforced composite material, thin-walled tubes, carbon fibre reinforced plastic (cfrp) tubes, composite materials, metallic, fibre breakage, pvc tubes, passenger safety, axial crushing behaviour, brittle collapse","fibreglass tubes, protect the passenger, fracture surface energy, tubular failure modes, transportation industries, passenger safety, delamination, structural efficiency, plastic deformation, fibre reinforced composite material, carbon fibre reinforced plastic, metal, crushing behaviour, composite materials, metals, axial crushing behaviour, brittle collapse, cfrp, crashworthiness parameters, crashworthiness characteristics, composites, prevent the massive damage, pvc tubes, fibre breakage",0.733,0.458,0.564
"This paper proposes a sentence stress feedback system in which sentence stress prediction, detection, and feedback provision models are combined. This system provides non-native learners with feedback on sentence stress errors so that they can improve their English rhythm and fluency in a self-study setting. The sentence stress feedback system was devised to predict and detect the sentence stress of any practice sentence. The accuracy of the prediction and detection models was 96.6% and 84.1%, respectively. The stress feedback provision model offers positive or negative stress feedback for each spoken word by comparing the probability of the predicted stress pattern with that of the detected stress pattern. In an experiment that evaluated the educational effect of the proposed system incorporated in our CALL system, significant improvements in accentedness and rhythm were seen with the students who trained with our system but not with those in the control group.","sentence stress prediction, spoken word, sentence stress feedback system, sentence stress detection, fluency, detected stress pattern, non-native learners, accentedness, educational effect, self-study setting, predicted stress pattern, feedback provision model, english rhythm, call system","sentence stress feedback system, stress feedback provision model, prediction and detection models, predict and detect the sentence stress, call system",0.143,0.4,0.211
In this paper a comparison between two popular feature extraction methods is presented. Scale-invariant feature transform (or SIFT) is the first method. The Speeded up robust features (or SURF) is presented as second. These two methods are tested on set of depth maps. Ten defined gestures of left hand are in these depth maps. The Microsoft Kinect camera is used for capturing the images [1]. The Support vector machine (or SVM) is used as classification method. The results are accuracy of SVM prediction on selected images.In this paper a comparison between two popular feature extraction methods is presented. Scale-invariant feature transform (or SIFT) is the first method. The Speeded up robust features (or SURF) is presented as second. These two methods are tested on set of depth maps. Ten defined gestures of left hand are in these depth maps. The Microsoft Kinect camera is used for capturing the images [1]. The Support vector machine (or SVM) is used as classification method. The results are accuracy of SVM prediction on selected images.,"svm prediction, scale-invariant feature transform, sift, microsoft kinect camera, feature extraction methods, classification method, left hand, depth maps, gestures, support vector machine, speeded up robust features, svm, surf","comparison between two popular feature extraction methods, speeded up robust features, sift, microsoft kinect camera, depth maps, svm, support vector machine, classification, surf",0.538,0.778,0.636
